id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
5,mean,0.55,raw,0.8618721591248463,0.945808101188458,7,11,4,2.4494898319244385
5,mean,0.55,pp,0.8577865196823435,0.9366747018649346,1,3,4,7.211102485656738
5,mean,0.6,raw,0.8609472598548986,0.9439626722214965,6,10,4,3.1622776985168457
5,mean,0.6,pp,0.8576310192143191,0.9349347382795578,0,4,4,8.611037254333496
5,mean,0.65,raw,0.857634956589071,0.941233329986208,5,9,4,3.6260204315185547
5,mean,0.65,pp,0.8553189980275517,0.9328235918524954,1,5,4,9.433980941772461
937,mean,0.5,raw,0.7762081784410386,0.8348070191774155,16,21,5,19.72308349609375
937,mean,0.5,pp,0.7778404915839252,0.8515727831333346,0,5,5,15.165750503540039
937,mean,0.55,raw,0.7739428571453176,0.8428482133154246,10,15,5,16.34013557434082
937,mean,0.55,pp,0.771249849372049,0.8529316953728557,1,4,5,19.824228286743164
937,mean,0.6,raw,0.7718598562939691,0.83847131578771,11,16,5,16.401220321655273
937,mean,0.6,pp,0.7700395982038744,0.8407531522688937,1,4,5,20.049938201904297
937,mean,0.65,raw,0.7658613373512437,0.8334122533744738,17,22,5,17.32050895690918
937,mean,0.65,pp,0.7679950429750427,0.8423619064279814,2,3,5,20.34699058532715
998,mean,0.5,raw,0.8414128270211333,0.9179344759214607,14,17,3,3.0
998,mean,0.5,pp,0.8416856821016023,0.9201650521300251,3,6,3,4.4721360206604
998,mean,0.55,raw,0.842847405953646,0.9205378654210828,14,17,3,3.1622776985168457
998,mean,0.55,pp,0.8455951213408528,0.9270900005234882,4,7,3,5.099019527435303
998,mean,0.6,raw,0.8420926720605096,0.9115006699928326,15,18,3,4.0
998,mean,0.6,pp,0.8418969346297691,0.9206281827044472,2,5,3,12.041594505310059
998,mean,0.65,raw,0.8388534108521684,0.9073968248552954,15,18,3,5.0
998,mean,0.65,pp,0.8387409349946648,0.9092700544506499,2,5,3,12.727922439575195
959,mean,0.5,raw,0.7752532329765859,0.8235436173288118,31,33,2,23.507434844970703
959,mean,0.5,pp,0.7780677260519057,0.8593932034705365,1,3,2,45.565330505371094
959,mean,0.55,raw,0.772409701410894,0.8297114530908403,25,27,2,24.710311889648438
959,mean,0.55,pp,0.7729528408000562,0.8534086018203992,2,4,2,45.60480880737305
959,mean,0.6,raw,0.7662635529632374,0.8317380826259632,20,22,2,27.73084831237793
959,mean,0.6,pp,0.7647984556333298,0.8375571170678305,4,6,2,45.87371826171875
959,mean,0.65,raw,0.7575203942921745,0.8205941744136096,29,31,2,29.017236709594727
959,mean,0.65,pp,0.7527242784297813,0.8178085384859795,3,5,2,50.447994232177734
69,mean,0.5,raw,0.8695220446846647,0.9400513692833292,18,22,4,3.316624879837036
69,mean,0.5,pp,0.8701426049934851,0.9558607311010726,1,3,4,5.0
69,mean,0.55,raw,0.871262765625471,0.9432044842818091,13,17,4,4.242640495300293
69,mean,0.55,pp,0.8725247613012604,0.9493801528201492,2,2,4,8.062257766723633
69,mean,0.6,raw,0.8710266873722795,0.9435886997598167,2,6,4,6.457395076751709
69,mean,0.6,pp,0.8720901633424087,0.9458106046356863,2,2,4,8.70048999786377
69,mean,0.65,raw,0.8698216171820368,0.935602758289433,3,7,4,7.0
69,mean,0.65,pp,0.8695006797231912,0.9361751482941343,2,2,4,10.049875259399414
807,mean,0.5,raw,0.7711713242183711,0.8234727562434447,6,10,4,38.65229797363281
807,mean,0.5,pp,0.7682686818964475,0.8144339811642229,1,3,4,39.1375732421875
807,mean,0.55,raw,0.7692639683751606,0.8171595221212592,7,11,4,38.283172607421875
807,mean,0.55,pp,0.7678809149239477,0.8151416443237133,0,4,4,38.51491165161133
807,mean,0.6,raw,0.7672909652096723,0.8179268233994056,6,10,4,38.15420150756836
807,mean,0.6,pp,0.766564890856263,0.815864843774761,0,4,4,38.24985885620117
807,mean,0.65,raw,0.7647901995195485,0.8174800766005736,4,8,4,37.80211639404297
807,mean,0.65,pp,0.7658610137151409,0.8180873990409856,1,3,4,38.017086029052734
908,mean,0.5,raw,0.8233096469588823,0.9288847324869374,14,19,5,3.316624879837036
908,mean,0.5,pp,0.8255348034749211,0.9371688037017496,2,7,5,4.358899116516113
908,mean,0.55,raw,0.8204782755153686,0.9235500718221605,19,24,5,4.242640495300293
908,mean,0.55,pp,0.817176672118886,0.9310811780983977,1,4,5,14.783387184143066
908,mean,0.6,raw,0.8156562173682772,0.917997130292718,21,26,5,5.830951690673828
908,mean,0.6,pp,0.8098432670442386,0.9169869287997755,2,3,5,20.615528106689453
908,mean,0.65,raw,0.809694576518961,0.9170251555730979,15,20,5,7.681145668029785
908,mean,0.65,pp,0.801868209972567,0.9001674422388587,2,3,5,35.38499069213867
790,mean,0.5,raw,0.8058251419457362,0.8851419925121888,16,22,6,6.9748992919921875
790,mean,0.5,pp,0.8038257571831526,0.8857870075596904,0,6,6,12.328827857971191
790,mean,0.55,raw,0.8038573585407972,0.872419278699211,8,14,6,8.062257766723633
790,mean,0.55,pp,0.7980183336399899,0.8616334092266097,3,3,6,26.470720291137695
790,mean,0.6,raw,0.8000217687096596,0.85762345530393,16,22,6,10.488088607788086
790,mean,0.6,pp,0.7941157097398823,0.8479564466946187,3,3,6,26.60544204711914
790,mean,0.65,raw,0.7956781056683616,0.847263985672862,14,20,6,11.789826393127441
790,mean,0.65,pp,0.7874806279924143,0.8292400920413122,4,2,6,36.067291259765625
941,mean,0.5,raw,0.8057430685858619,0.9182374386216124,9,11,2,4.690415859222412
941,mean,0.5,pp,0.8001961337899854,0.9054834457355219,3,5,2,11.87434196472168
941,mean,0.55,raw,0.8058701980391568,0.9089104006113388,10,12,2,5.385164737701416
941,mean,0.55,pp,0.8014117789656839,0.8969272756963689,3,5,2,12.369317054748535
941,mean,0.6,raw,0.8050941306785239,0.9001728553054321,7,9,2,6.4031243324279785
941,mean,0.6,pp,0.8047998761352512,0.9021134565253456,2,4,2,12.845232963562012
941,mean,0.65,raw,0.8039144845383529,0.8966223565338469,8,10,2,7.071067810058594
941,mean,0.65,pp,0.8037200195821496,0.8985389341636375,2,4,2,13.34166431427002
727,mean,0.5,raw,0.757213713075481,0.8198797507707315,17,19,2,22.121246337890625
727,mean,0.5,pp,0.7589032954333257,0.8258917009174833,4,6,2,22.121246337890625
727,mean,0.55,raw,0.7590446613682037,0.8217482629342316,16,18,2,22.211471557617188
727,mean,0.55,pp,0.762651575104013,0.8334416112045878,3,5,2,22.211471557617188
727,mean,0.6,raw,0.7601319662341096,0.8197409740173205,13,15,2,22.390836715698242
727,mean,0.6,pp,0.7629757223198432,0.8273389062362391,3,5,2,22.390836715698242
727,mean,0.65,raw,0.7604550843012344,0.8207325052760077,13,15,2,22.671567916870117
727,mean,0.65,pp,0.7634354262821258,0.8216698413987226,3,5,2,24.351591110229492
203,mean,0.5,raw,0.8350529726592998,0.9175130298689197,9,12,3,8.0
203,mean,0.5,pp,0.8373259256563665,0.9302611674497472,1,4,3,8.306623458862305
203,mean,0.55,raw,0.8378508586645479,0.9229875971043289,11,14,3,8.124038696289062
203,mean,0.55,pp,0.840048785567801,0.9296909454943939,1,4,3,8.602325439453125
203,mean,0.6,raw,0.839422721478658,0.9229645279508621,9,12,3,8.366600036621094
203,mean,0.6,pp,0.8410450300590491,0.928416132483991,1,4,3,8.774964332580566
203,mean,0.65,raw,0.8381443853154396,0.9193245878623877,8,11,3,9.0
203,mean,0.65,pp,0.8392480809771313,0.9219936986092809,1,4,3,9.539392471313477
763,mean,0.5,raw,0.7672941448223376,0.800677856189094,18,21,3,48.50773239135742
763,mean,0.5,pp,0.7712475746689835,0.8171204043645014,3,6,3,45.880279541015625
763,mean,0.55,raw,0.777960331308305,0.8004521518438524,12,15,3,46.53868865966797
763,mean,0.55,pp,0.7822266123969018,0.8215437915960723,2,5,3,40.45985794067383
763,mean,0.6,raw,0.7877180933853681,0.7846916155370481,14,17,3,43.4281005859375
763,mean,0.6,pp,0.7899430723513827,0.7955038418548068,2,5,3,39.793827056884766
763,mean,0.65,raw,0.7970174873958712,0.7829877303620829,17,20,3,40.20137023925781
763,mean,0.65,pp,0.7980872555358721,0.7961897745223296,3,6,3,38.131351470947266
846,mean,0.5,raw,0.8406819517947061,0.9544825324285166,2,5,3,2.8284270763397217
846,mean,0.5,pp,0.8389246466210091,0.9484236633188039,0,3,3,6.188497543334961
846,mean,0.55,raw,0.8394478980103314,0.9509343899547731,5,8,3,3.316624879837036
846,mean,0.55,pp,0.8385979364040321,0.9491761097242815,0,3,3,6.4031243324279785
846,mean,0.6,raw,0.8357204301092933,0.9433055390532465,6,9,3,4.123105525970459
846,mean,0.6,pp,0.8321831632395682,0.9349538044272709,1,2,3,9.643651008605957
846,mean,0.65,raw,0.8308892184343286,0.9287105959970918,11,14,3,5.099019527435303
