id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
931,mean,0.45,raw,0.5839410787857617,0.532167037629906,31,33,2,102.18756866455078
931,mean,0.45,pp,0.5997992117275266,0.5649785979531171,6,8,2,102.36209869384766
931,mean,0.5,raw,0.5942718501887091,0.5446883833900106,29,31,2,102.15674591064453
931,mean,0.5,pp,0.6102381369704181,0.5880735734191259,6,8,2,102.36209869384766
931,mean,0.55,raw,0.6064436133910677,0.5724898536628348,32,34,2,102.14205932617188
931,mean,0.55,pp,0.6167368613884975,0.6106367112860277,6,8,2,101.71356201171875
931,mean,0.6,raw,0.6149230096135911,0.5726839783792489,26,28,2,101.98504638671875
931,mean,0.6,pp,0.6223140670218604,0.6066998361280612,6,8,2,101.25042724609375
728,mean,0.45,raw,0.6535694038675421,0.6793586075555099,52,54,2,95.56673431396484
728,mean,0.45,pp,0.6630486760638444,0.7160417206324527,11,13,2,89.68499755859375
728,mean,0.5,raw,0.6289620018578665,0.6740118821429392,58,60,2,94.576416015625
728,mean,0.5,pp,0.6294156643665426,0.6936355765000182,10,12,2,89.81758880615234
728,mean,0.55,raw,0.609197519498874,0.6732318719103164,55,57,2,92.83183288574219
728,mean,0.55,pp,0.6063669281884133,0.6736098489835644,7,9,2,88.28929138183594
728,mean,0.6,raw,0.5960384919774864,0.6591841808204116,49,51,2,91.30717468261719
728,mean,0.6,pp,0.593633080025457,0.6604266528753991,10,12,2,87.49514770507812
630,mean,0.45,raw,0.6449105241119278,0.6419858388208287,45,47,2,115.95408630371094
630,mean,0.45,pp,0.6749722870290866,0.6956163721624585,7,9,2,114.55171203613281
630,mean,0.5,raw,0.6631632703546256,0.6442359061198758,43,45,2,114.7998275756836
630,mean,0.5,pp,0.6849013435226489,0.6886593411300069,7,9,2,114.02192687988281
630,mean,0.55,raw,0.681490552839722,0.6837116241358938,40,42,2,111.78997802734375
630,mean,0.55,pp,0.6913461195097799,0.7386060764443378,7,9,2,109.57691192626953
630,mean,0.6,raw,0.6835346471767589,0.7018020572123664,27,29,2,111.36515808105469
630,mean,0.6,pp,0.6892923495817138,0.7284983914175283,7,9,2,109.24009704589844
936,mean,0.45,raw,0.8460107215901294,0.9073986072122339,18,20,2,12.569805145263672
936,mean,0.45,pp,0.8467732977910439,0.9174130138866555,3,5,2,13.394030570983887
936,mean,0.5,raw,0.8434616578424979,0.8987338024294914,20,22,2,13.34166431427002
936,mean,0.5,pp,0.8376788492937334,0.8941226209891493,2,4,2,20.34699058532715
936,mean,0.55,raw,0.8345801681076555,0.8884690758131335,23,25,2,13.906835556030273
936,mean,0.55,pp,0.8280249835141015,0.8752191915870748,3,5,2,24.1867733001709
936,mean,0.6,raw,0.8229910846094055,0.8724676752992382,22,24,2,15.11291217803955
936,mean,0.6,pp,0.8093552792944724,0.8256875888003296,3,5,2,27.17352294921875
761,mean,0.45,raw,0.8133012095761695,0.8901378702945201,18,21,3,21.61933708190918
761,mean,0.45,pp,0.8186392981309498,0.9114496317489029,0,3,3,10.049875259399414
761,mean,0.5,raw,0.8196782167791332,0.8998053451908113,15,18,3,11.704699516296387
761,mean,0.5,pp,0.8222449791394311,0.9149971219841219,1,4,3,8.366600036621094
761,mean,0.55,raw,0.8238121585187097,0.9078108062261582,16,19,3,8.124038696289062
761,mean,0.55,pp,0.825631471774831,0.9240669205089853,2,5,3,7.0
761,mean,0.6,raw,0.8249588793987994,0.916610553865176,14,17,3,7.211102485656738
761,mean,0.6,pp,0.8259649184959228,0.9259581818933542,2,5,3,7.211102485656738
764,mean,0.45,raw,0.8442592957477735,0.9232931923341025,14,16,2,3.605551242828369
764,mean,0.45,pp,0.8436906606573112,0.922638453231654,2,4,2,6.4031243324279785
764,mean,0.5,raw,0.8466233669116615,0.9155752783310555,12,14,2,5.0
764,mean,0.5,pp,0.847587339021944,0.924206299479424,0,2,2,8.062257766723633
764,mean,0.55,raw,0.8455997789167724,0.9106655629718478,14,16,2,6.028772830963135
764,mean,0.55,pp,0.8449055223132286,0.9150049641365291,3,5,2,8.5440034866333
764,mean,0.6,raw,0.8408346701764582,0.8968315339999877,18,20,2,7.141428470611572
764,mean,0.6,pp,0.8387287420103804,0.8918940541342476,4,6,2,9.643651008605957
1000,mean,0.45,raw,0.802231409077031,0.8864228701410206,12,14,2,9.69536018371582
1000,mean,0.45,pp,0.8098063270537799,0.9031942539223329,1,3,2,6.0
1000,mean,0.5,raw,0.8078920679819305,0.9022928532549925,16,18,2,8.306623458862305
1000,mean,0.5,pp,0.8142417418987518,0.9179764916837139,3,5,2,5.0
1000,mean,0.55,raw,0.8112422733084333,0.9024653139908286,15,17,2,7.280109882354736
1000,mean,0.55,pp,0.8088960000020384,0.8982983065173434,2,4,2,6.7082037925720215
1000,mean,0.6,raw,0.8125270445714785,0.8941406108431824,16,18,2,6.480740547180176
1000,mean,0.6,pp,0.8110698926516849,0.894127782258059,2,4,2,7.0
916,mean,0.45,raw,0.7855041505070033,0.8476696603558104,11,13,2,30.479501724243164
916,mean,0.45,pp,0.7883763577393297,0.8533286261473579,2,4,2,28.352205276489258
916,mean,0.5,raw,0.7897175682164699,0.8429240621969831,11,13,2,27.468162536621094
916,mean,0.5,pp,0.7911164927272183,0.848018302539212,2,4,2,26.02785301208496
916,mean,0.55,raw,0.7914988464416426,0.8356128451175494,18,20,2,25.01999282836914
916,mean,0.55,pp,0.7927299106944353,0.8429149312036743,2,4,2,23.82223892211914
916,mean,0.6,raw,0.7922356011055779,0.8460880713297535,11,13,2,22.360679626464844
916,mean,0.6,pp,0.7933765586055523,0.8507532213636091,2,4,2,21.587032318115234
