id,raw_dice,raw_cldice,raw_precision,raw_recall,raw_betti0_err,raw_n_pred,raw_n_gt,raw_hd95,pp_dice,pp_cldice,pp_precision,pp_recall,pp_betti0_err,pp_n_pred,pp_n_gt,pp_hd95
936,0.8302517555671013,0.8712184033795533,0.8810646900293114,0.7849802231991634,28,30,2,4.898979663848877,0.8341882935263155,0.8874758154247679,0.9008211996497958,0.7767340019816229,4,6,2,9.219544410705566
761,0.7857384893858052,0.8418426363465713,0.74806829806046,0.8274037457385748,28,31,3,39.842166900634766,0.792566238334163,0.8676104089631422,0.763479186494791,0.8239573905203655,2,5,3,29.204458236694336
764,0.8642756123784338,0.935201796065118,0.8417149657332821,0.8880789620548726,8,10,2,1.7320507764816284,0.8631315306338362,0.9318501953478736,0.8419301348679866,0.8854282924120462,2,4,2,2.0
1000,0.7913432416732721,0.8595211639362991,0.736040893238512,0.8556309774271729,27,29,2,11.224971771240234,0.800841685813316,0.8862939993118296,0.7537072116075674,0.8542647090747486,5,7,2,6.4031243324279785
916,0.7890331076016833,0.8522079691428184,0.7523766816187915,0.8294443345890954,16,18,2,21.587032318115234,0.7885292447493041,0.845838785980007,0.7561807950670506,0.8237690330270167,3,5,2,20.71231460571289
243,0.6897127289870718,0.7870240884981996,0.7802279317583084,0.6180159391532807,29,30,1,14.03566837310791,0.6852145019852932,0.7922843992637999,0.7848130937801138,0.608048629365553,4,5,1,17.83255386352539
5,0.8716066513005885,0.9475901091010497,0.8464313657340166,0.8983254140356524,16,20,4,2.4494898319244385,0.8719836953476339,0.948107836524238,0.8518314816884428,0.893112515571963,2,6,4,1.4142135381698608
937,0.7746017399187087,0.8339659931142606,0.7500198902110347,0.8008495274545854,22,27,5,35.11410140991211,0.776675528340695,0.8408812698978126,0.7570886943944443,0.7973027503494254,0,5,5,34.539833068847656
998,0.8391407840787006,0.908292985581187,0.8041001964933414,0.877374473382249,16,19,3,8.5440034866333,0.8437170924524059,0.9147233157871313,0.8129456405435538,0.8769096987979295,4,7,3,5.0
959,0.7623798348396745,0.823278656761174,0.8258695883453703,0.7079549184865602,33,35,2,13.371560096740723,0.7618128643359746,0.8305979034754767,0.8380241617824121,0.6983076193657528,8,10,2,29.57362937927246
69,0.8641266371023452,0.8982733395979056,0.8384351001579073,0.891442438085912,19,23,4,4.0,0.8677802570581764,0.9315170823612412,0.8457400682910718,0.890999928629063,1,3,4,5.830951690673828
807,0.7700173841925724,0.8199742849750635,0.779341751194036,0.7609135004082304,12,16,4,40.422767639160156,0.7682793307577901,0.8258660275225744,0.7805916707261943,0.7563493667516109,2,6,4,41.24983215332031
908,0.8304344100778717,0.9345832462320837,0.8322805946256459,0.8285963979058326,11,16,5,6.0,0.829372036213734,0.9339841787253719,0.8364799319825218,0.8223839197541154,0,5,5,8.66025447845459
790,0.8072199365008298,0.8810506266782695,0.7793021880587562,0.8372122572618705,19,25,6,9.0,0.8044562378057009,0.8764816424080436,0.784916989043663,0.8249931174726288,0,6,6,14.03566837310791
941,0.8153073845061433,0.9228176085356863,0.7821110521821806,0.8514466326327667,24,26,2,11.747340202331543,0.8234562784941174,0.9344040020249161,0.8025966532082344,0.84542912716249,5,7,2,3.0
727,0.760963644603239,0.8109176590033536,0.7970381279692843,0.7280132727530789,29,31,2,21.63330841064453,0.7695524421265965,0.8342354632758217,0.8184605535838128,0.7261598708638325,5,7,2,21.63330841064453
203,0.8328188044754474,0.917529328885491,0.8138751683905777,0.852665314165231,16,19,3,7.071067810058594,0.8350402948947631,0.9236731730645863,0.8213214280661807,0.8492252506564167,2,5,3,7.874007701873779
763,0.75061055262314,0.7569777936183507,0.6524762670552456,0.8834899533982067,28,31,3,46.48655700683594,0.7562885853165943,0.7788308263640502,0.6632062431655935,0.8797654519084772,4,7,3,43.15089797973633
846,0.8369357356256713,0.9364277956030418,0.8116404025860772,0.8638584811074012,20,23,3,2.2360680103302,0.8358805231032794,0.9399289998166387,0.8155757674229419,0.8572221155312886,2,5,3,6.4031243324279785
108,0.8038067766715962,0.8475111131642696,0.795720538787629,0.8120590490833578,24,27,3,13.34729290008545,0.8049338123709876,0.8536422734910427,0.8066540875696666,0.8032208588994781,2,5,3,10.770329475402832
