作业 16823664 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=9219  val batches=1427

--- Epoch 1/100 (lr=3.00e-04) ---
    [train] iter 20/9219  loss=1.1220
    [train] iter 40/9219  loss=1.0977
    [train] iter 60/9219  loss=1.0737
    [train] iter 80/9219  loss=1.0102
    [train] iter 100/9219  loss=1.0013
    [train] iter 120/9219  loss=0.9745
    [train] iter 140/9219  loss=0.8208
    [train] iter 160/9219  loss=0.8256
    [train] iter 180/9219  loss=0.7870
    [train] iter 200/9219  loss=0.7986
    [train] iter 220/9219  loss=0.7878
    [train] iter 240/9219  loss=0.8168
    [train] iter 260/9219  loss=0.5509
    [train] iter 280/9219  loss=0.7126
    [train] iter 300/9219  loss=0.6239
    [train] iter 320/9219  loss=0.8003
    [train] iter 340/9219  loss=0.6438
    [train] iter 360/9219  loss=0.6995
    [train] iter 380/9219  loss=0.6302
    [train] iter 400/9219  loss=0.6123
    [train] iter 420/9219  loss=0.6107
    [train] iter 440/9219  loss=0.4677
    [train] iter 460/9219  loss=0.3713
    [train] iter 480/9219  loss=0.5169
    [train] iter 500/9219  loss=0.7508
    [train] iter 520/9219  loss=0.4773
    [train] iter 540/9219  loss=0.6796
    [train] iter 560/9219  loss=0.4569
    [train] iter 580/9219  loss=0.4616
    [train] iter 600/9219  loss=0.5163
    [train] iter 620/9219  loss=0.5465
    [train] iter 640/9219  loss=0.6972
    [train] iter 660/9219  loss=0.3868
    [train] iter 680/9219  loss=0.4137
    [train] iter 700/9219  loss=0.4804
    [train] iter 720/9219  loss=0.3692
    [train] iter 740/9219  loss=0.5147
    [train] iter 760/9219  loss=0.3314
    [train] iter 780/9219  loss=0.5135
    [train] iter 800/9219  loss=0.5808
    [train] iter 820/9219  loss=0.5076
    [train] iter 840/9219  loss=0.3668
    [train] iter 860/9219  loss=0.3120
    [train] iter 880/9219  loss=0.7392
    [train] iter 900/9219  loss=0.5100
    [train] iter 920/9219  loss=0.5057
    [train] iter 940/9219  loss=0.6067
    [train] iter 960/9219  loss=0.5571
    [train] iter 980/9219  loss=0.4026
    [train] iter 1000/9219  loss=0.5936
    [train] iter 1020/9219  loss=0.3832
    [train] iter 1040/9219  loss=0.3802
    [train] iter 1060/9219  loss=0.4631
    [train] iter 1080/9219  loss=0.5973
    [train] iter 1100/9219  loss=0.2400
    [train] iter 1120/9219  loss=0.4944
    [train] iter 1140/9219  loss=0.4332
    [train] iter 1160/9219  loss=0.3964
    [train] iter 1180/9219  loss=0.5460
    [train] iter 1200/9219  loss=0.3054
    [train] iter 1220/9219  loss=0.4477
    [train] iter 1240/9219  loss=0.4825
    [train] iter 1260/9219  loss=0.4861
    [train] iter 1280/9219  loss=0.5207
    [train] iter 1300/9219  loss=0.5462
    [train] iter 1320/9219  loss=0.4712
    [train] iter 1340/9219  loss=0.5268
    [train] iter 1360/9219  loss=0.4423
    [train] iter 1380/9219  loss=0.6152
    [train] iter 1400/9219  loss=0.3349
    [train] iter 1420/9219  loss=0.4129
    [train] iter 1440/9219  loss=0.5289
    [train] iter 1460/9219  loss=0.5427
    [train] iter 1480/9219  loss=0.4644
    [train] iter 1500/9219  loss=0.4519
    [train] iter 1520/9219  loss=0.4860
    [train] iter 1540/9219  loss=0.4440
    [train] iter 1560/9219  loss=0.7141
    [train] iter 1580/9219  loss=0.3152
    [train] iter 1600/9219  loss=0.2933
    [train] iter 1620/9219  loss=0.4497
    [train] iter 1640/9219  loss=0.4415
    [train] iter 1660/9219  loss=0.4657
    [train] iter 1680/9219  loss=0.4368
    [train] iter 1700/9219  loss=0.4249
    [train] iter 1720/9219  loss=0.3951
    [train] iter 1740/9219  loss=0.2534
    [train] iter 1760/9219  loss=0.4025
    [train] iter 1780/9219  loss=0.4634
    [train] iter 1800/9219  loss=0.4529
    [train] iter 1820/9219  loss=0.3765
    [train] iter 1840/9219  loss=0.4309
    [train] iter 1860/9219  loss=0.3572
    [train] iter 1880/9219  loss=0.4713
    [train] iter 1900/9219  loss=0.4173
    [train] iter 1920/9219  loss=0.4690
    [train] iter 1940/9219  loss=0.6171
    [train] iter 1960/9219  loss=0.4892
    [train] iter 1980/9219  loss=0.6005
    [train] iter 2000/9219  loss=0.4247
    [train] iter 2020/9219  loss=0.4728
    [train] iter 2040/9219  loss=0.1874
    [train] iter 2060/9219  loss=0.4035
    [train] iter 2080/9219  loss=0.4294
    [train] iter 2100/9219  loss=0.5152
    [train] iter 2120/9219  loss=0.5424
    [train] iter 2140/9219  loss=0.3270
    [train] iter 2160/9219  loss=0.4039
    [train] iter 2180/9219  loss=0.3446
    [train] iter 2200/9219  loss=0.4871
    [train] iter 2220/9219  loss=0.4500
    [train] iter 2240/9219  loss=0.3288
    [train] iter 2260/9219  loss=0.4651
    [train] iter 2280/9219  loss=0.5930
    [train] iter 2300/9219  loss=0.4692
    [train] iter 2320/9219  loss=0.4119
    [train] iter 2340/9219  loss=0.4388
    [train] iter 2360/9219  loss=0.4208
    [train] iter 2380/9219  loss=0.3742
    [train] iter 2400/9219  loss=0.4113
    [train] iter 2420/9219  loss=0.3882
    [train] iter 2440/9219  loss=0.3310
    [train] iter 2460/9219  loss=0.5394
    [train] iter 2480/9219  loss=0.4393
    [train] iter 2500/9219  loss=0.4628
    [train] iter 2520/9219  loss=0.4322
    [train] iter 2540/9219  loss=0.4784
    [train] iter 2560/9219  loss=0.4879
    [train] iter 2580/9219  loss=0.6052
    [train] iter 2600/9219  loss=0.4224
    [train] iter 2620/9219  loss=0.3542
    [train] iter 2640/9219  loss=0.4747
    [train] iter 2660/9219  loss=0.2740
    [train] iter 2680/9219  loss=0.4962
    [train] iter 2700/9219  loss=0.5986
    [train] iter 2720/9219  loss=0.4904
    [train] iter 2740/9219  loss=0.3967
    [train] iter 2760/9219  loss=0.3101
    [train] iter 2780/9219  loss=0.5855
    [train] iter 2800/9219  loss=0.5326
