作业 16831428 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=4443  val batches=743

--- Epoch 1/100 (lr=5.00e-04) ---
    [train] iter 2700/4443  loss=0.5252
    [train] iter 2720/4443  loss=0.3747
    [train] iter 2740/4443  loss=0.4470
    [train] iter 2760/4443  loss=0.3705
    [train] iter 2780/4443  loss=0.4828
    [train] iter 2800/4443  loss=0.3726
    [train] iter 2820/4443  loss=0.4853
    [train] iter 2840/4443  loss=0.4823
    [train] iter 2860/4443  loss=0.3625
    [train] iter 2880/4443  loss=0.4252
    [train] iter 2900/4443  loss=0.4374
    [train] iter 2920/4443  loss=0.3361
    [train] iter 2940/4443  loss=0.5342
    [train] iter 2960/4443  loss=0.4934
    [train] iter 2980/4443  loss=0.4325
    [train] iter 3000/4443  loss=0.4533
    [train] iter 3020/4443  loss=0.3894
    [train] iter 3040/4443  loss=0.3583
    [train] iter 3060/4443  loss=0.4936
    [train] iter 3080/4443  loss=0.6240
    [train] iter 3100/4443  loss=0.5196
    [train] iter 3120/4443  loss=0.5160
    [train] iter 3140/4443  loss=0.3355
    [train] iter 3160/4443  loss=0.3926
    [train] iter 3180/4443  loss=0.4166
    [train] iter 3200/4443  loss=0.4727
    [train] iter 3220/4443  loss=0.4758
    [train] iter 3240/4443  loss=0.4166
    [train] iter 3260/4443  loss=0.5383
    [train] iter 3280/4443  loss=0.3988
    [train] iter 3300/4443  loss=0.4913
    [train] iter 3320/4443  loss=0.2949
    [train] iter 3340/4443  loss=0.5073
    [train] iter 3360/4443  loss=0.5661
    [train] iter 3380/4443  loss=0.3732
    [train] iter 3400/4443  loss=0.4842
    [train] iter 3420/4443  loss=0.4355
    [train] iter 3440/4443  loss=0.4097
    [train] iter 3460/4443  loss=0.4127
    [train] iter 3480/4443  loss=0.2912
    [train] iter 3500/4443  loss=0.5354
    [train] iter 3520/4443  loss=0.5488
    [train] iter 3540/4443  loss=0.4052
    [train] iter 3560/4443  loss=0.3757
    [train] iter 3580/4443  loss=0.4184
    [train] iter 3600/4443  loss=0.4234
    [train] iter 3620/4443  loss=0.4448
    [train] iter 3640/4443  loss=0.4371
    [train] iter 3660/4443  loss=0.4936
    [train] iter 3680/4443  loss=0.4580
    [train] iter 3700/4443  loss=0.3895
    [train] iter 3720/4443  loss=0.4531
    [train] iter 3740/4443  loss=0.3870
    [train] iter 3760/4443  loss=0.3428
    [train] iter 3780/4443  loss=0.4863
    [train] iter 3800/4443  loss=0.5236
    [train] iter 3820/4443  loss=0.2982
    [train] iter 3840/4443  loss=0.5402
    [train] iter 3860/4443  loss=0.3937
    [train] iter 3880/4443  loss=0.4584
    [train] iter 3900/4443  loss=0.3339
    [train] iter 3920/4443  loss=0.3375
    [train] iter 3940/4443  loss=0.6177
    [train] iter 3960/4443  loss=0.3472
    [train] iter 3980/4443  loss=0.3465
    [train] iter 4000/4443  loss=0.2539
    [train] iter 4020/4443  loss=0.4287
    [train] iter 4040/4443  loss=0.4724
    [train] iter 4060/4443  loss=0.4269
    [train] iter 4080/4443  loss=0.5086
    [train] iter 4100/4443  loss=0.4301
    [train] iter 4120/4443  loss=0.4344
    [train] iter 4140/4443  loss=0.4126
    [train] iter 4160/4443  loss=0.3756
    [train] iter 4180/4443  loss=0.3284
    [train] iter 4200/4443  loss=0.5105
    [train] iter 4220/4443  loss=0.3844
    [train] iter 4240/4443  loss=0.4191
    [train] iter 4260/4443  loss=0.4449
    [train] iter 4280/4443  loss=0.3708
    [train] iter 4300/4443  loss=0.4983
    [train] iter 4320/4443  loss=0.4410
    [train] iter 4340/4443  loss=0.4178
    [train] iter 4360/4443  loss=0.4032
    [train] iter 4380/4443  loss=0.3918
    [train] iter 4400/4443  loss=0.3023
    [train] iter 4420/4443  loss=0.4541
    [train] iter 4440/4443  loss=0.4096
  train_loss=0.4887  val_loss=0.4163  val_dice=0.5716
  [best] val_dice=0.5716 已保存

--- Epoch 2/100 (lr=5.00e-04) ---
    [train] iter 20/4443  loss=0.4093
    [train] iter 40/4443  loss=0.3688
    [train] iter 60/4443  loss=0.3685
    [train] iter 80/4443  loss=0.4665
    [train] iter 100/4443  loss=0.3393
    [train] iter 120/4443  loss=0.4104
    [train] iter 140/4443  loss=0.3760
    [train] iter 160/4443  loss=0.4411
    [train] iter 180/4443  loss=0.3121
    [train] iter 200/4443  loss=0.3796
    [train] iter 220/4443  loss=0.4585
    [train] iter 240/4443  loss=0.2139
    [train] iter 260/4443  loss=0.3990
    [train] iter 280/4443  loss=0.4182
    [train] iter 300/4443  loss=0.4533
    [train] iter 320/4443  loss=0.3299
    [train] iter 340/4443  loss=0.4731
    [train] iter 360/4443  loss=0.3737
    [train] iter 380/4443  loss=0.3615
    [train] iter 400/4443  loss=0.3482
    [train] iter 420/4443  loss=0.3070
    [train] iter 440/4443  loss=0.3893
    [train] iter 460/4443  loss=0.2939
    [train] iter 480/4443  loss=0.5848
    [train] iter 500/4443  loss=0.4276
    [train] iter 520/4443  loss=0.5790
    [train] iter 540/4443  loss=0.3226
    [train] iter 560/4443  loss=0.3181
    [train] iter 580/4443  loss=0.3166
    [train] iter 600/4443  loss=0.5407
    [train] iter 620/4443  loss=0.4583
    [train] iter 640/4443  loss=0.3414
    [train] iter 660/4443  loss=0.3481
    [train] iter 680/4443  loss=0.5261
    [train] iter 700/4443  loss=0.4023
    [train] iter 720/4443  loss=0.4153
    [train] iter 740/4443  loss=0.3861
    [train] iter 760/4443  loss=0.5526
    [train] iter 780/4443  loss=0.3358
    [train] iter 800/4443  loss=0.4188
    [train] iter 820/4443  loss=0.4882
    [train] iter 840/4443  loss=0.4427
