作业 16828128 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=4443  val batches=743

--- Epoch 1/100 (lr=5.00e-04) ---
    [train] iter 20/4443  loss=1.1002
    [train] iter 40/4443  loss=1.0752
    [train] iter 60/4443  loss=1.0508
    [train] iter 80/4443  loss=0.9368
    [train] iter 100/4443  loss=0.8852
    [train] iter 120/4443  loss=0.9270
    [train] iter 140/4443  loss=0.9300
    [train] iter 160/4443  loss=0.8681
    [train] iter 180/4443  loss=0.8387
    [train] iter 200/4443  loss=0.7125
    [train] iter 220/4443  loss=0.6797
    [train] iter 240/4443  loss=0.6430
    [train] iter 260/4443  loss=0.7666
    [train] iter 280/4443  loss=0.7622
    [train] iter 300/4443  loss=0.6852
    [train] iter 320/4443  loss=0.5490
    [train] iter 340/4443  loss=0.6486
    [train] iter 360/4443  loss=0.6228
    [train] iter 380/4443  loss=0.6141
    [train] iter 400/4443  loss=0.6095
    [train] iter 420/4443  loss=0.5655
    [train] iter 440/4443  loss=0.5913
    [train] iter 460/4443  loss=0.5962
    [train] iter 480/4443  loss=0.6919
    [train] iter 500/4443  loss=0.6310
    [train] iter 520/4443  loss=0.6473
    [train] iter 540/4443  loss=0.6496
    [train] iter 560/4443  loss=0.6205
    [train] iter 580/4443  loss=0.5515
    [train] iter 600/4443  loss=0.3897
    [train] iter 620/4443  loss=0.4240
    [train] iter 640/4443  loss=0.5243
    [train] iter 660/4443  loss=0.4394
    [train] iter 680/4443  loss=0.5017
    [train] iter 700/4443  loss=0.4778
    [train] iter 720/4443  loss=0.5208
    [train] iter 740/4443  loss=0.4986
    [train] iter 760/4443  loss=0.4619
    [train] iter 780/4443  loss=0.5894
    [train] iter 800/4443  loss=0.4447
    [train] iter 820/4443  loss=0.5042
    [train] iter 840/4443  loss=0.4427
    [train] iter 860/4443  loss=0.5332
    [train] iter 880/4443  loss=0.3922
    [train] iter 900/4443  loss=0.5236
    [train] iter 920/4443  loss=0.4380
    [train] iter 940/4443  loss=0.4755
    [train] iter 960/4443  loss=0.5344
    [train] iter 980/4443  loss=0.3008
    [train] iter 1000/4443  loss=0.5784
    [train] iter 1020/4443  loss=0.4578
    [train] iter 1040/4443  loss=0.3749
    [train] iter 1060/4443  loss=0.5330
    [train] iter 1080/4443  loss=0.4042
    [train] iter 1100/4443  loss=0.5042
    [train] iter 1120/4443  loss=0.4765
    [train] iter 1140/4443  loss=0.4329
    [train] iter 1160/4443  loss=0.3099
    [train] iter 1180/4443  loss=0.3989
    [train] iter 1200/4443  loss=0.3917
    [train] iter 1220/4443  loss=0.5809
    [train] iter 1240/4443  loss=0.5731
    [train] iter 1260/4443  loss=0.4389
    [train] iter 1280/4443  loss=0.3341
    [train] iter 1300/4443  loss=0.6369
    [train] iter 1320/4443  loss=0.2983
    [train] iter 1340/4443  loss=0.3800
    [train] iter 1360/4443  loss=0.3815
    [train] iter 1380/4443  loss=0.5028
    [train] iter 1400/4443  loss=0.6529
    [train] iter 1420/4443  loss=0.5814
    [train] iter 1440/4443  loss=0.3761
    [train] iter 1460/4443  loss=0.5888
    [train] iter 1480/4443  loss=0.5216
    [train] iter 1500/4443  loss=0.5105
    [train] iter 1520/4443  loss=0.4478
    [train] iter 1540/4443  loss=0.5022
    [train] iter 1560/4443  loss=0.3552
    [train] iter 1580/4443  loss=0.4421
    [train] iter 1600/4443  loss=0.5774
    [train] iter 1620/4443  loss=0.6650
    [train] iter 1640/4443  loss=0.3558
    [train] iter 1660/4443  loss=0.4917
    [train] iter 1680/4443  loss=0.3686
    [train] iter 1700/4443  loss=0.5015
    [train] iter 1720/4443  loss=0.3947
    [train] iter 1740/4443  loss=0.5503
    [train] iter 1760/4443  loss=0.4835
    [train] iter 1780/4443  loss=0.3735
    [train] iter 1800/4443  loss=0.5169
    [train] iter 1820/4443  loss=0.4411
    [train] iter 1840/4443  loss=0.3958
    [train] iter 1860/4443  loss=0.3273
    [train] iter 1880/4443  loss=0.6362
    [train] iter 1900/4443  loss=0.6408
    [train] iter 1920/4443  loss=0.6591
    [train] iter 1940/4443  loss=0.4227
    [train] iter 1960/4443  loss=0.4668
    [train] iter 1980/4443  loss=0.4649
    [train] iter 2000/4443  loss=0.4899
    [train] iter 2020/4443  loss=0.4399
    [train] iter 2040/4443  loss=0.3591
    [train] iter 2060/4443  loss=0.4645
    [train] iter 2080/4443  loss=0.4022
    [train] iter 2100/4443  loss=0.5362
    [train] iter 2120/4443  loss=0.3831
    [train] iter 2140/4443  loss=0.4584
    [train] iter 2160/4443  loss=0.3817
    [train] iter 2180/4443  loss=0.3630
    [train] iter 2200/4443  loss=0.4082
    [train] iter 2220/4443  loss=0.4513
    [train] iter 2240/4443  loss=0.6613
    [train] iter 2260/4443  loss=0.4503
    [train] iter 2280/4443  loss=0.3797
    [train] iter 2300/4443  loss=0.3385
    [train] iter 2320/4443  loss=0.3989
    [train] iter 2340/4443  loss=0.4060
    [train] iter 2360/4443  loss=0.4028
    [train] iter 2380/4443  loss=0.3267
    [train] iter 2400/4443  loss=0.4440
    [train] iter 2420/4443  loss=0.3375
    [train] iter 2440/4443  loss=0.3272
    [train] iter 2460/4443  loss=0.4159
    [train] iter 2480/4443  loss=0.5664
    [train] iter 2500/4443  loss=0.5451
    [train] iter 2520/4443  loss=0.3557
    [train] iter 2540/4443  loss=0.3693
    [train] iter 2560/4443  loss=0.4639
    [train] iter 2580/4443  loss=0.5062
    [train] iter 2600/4443  loss=0.6055
    [train] iter 2620/4443  loss=0.4258
    [train] iter 2640/4443  loss=0.4249
    [train] iter 2660/4443  loss=0.3625
    [train] iter 2680/4443  loss=0.3978
    [train] iter 2700/4443  loss=0.5338
    [train] iter 2720/4443  loss=0.3747
    [train] iter 2740/4443  loss=0.4817
    [train] iter 2760/4443  loss=0.3700
    [train] iter 2780/4443  loss=0.4980
    [train] iter 2800/4443  loss=0.3774
