作业 16805653 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [构建] train 切片索引（会遍历 700 个病例，首次较慢）...
    ...20/700 病例，累计 4517 切片
    ...40/700 病例，累计 8770 切片
    ...60/700 病例，累计 12885 切片
    ...80/700 病例，累计 17213 切片
    ...100/700 病例，累计 21769 切片
    ...120/700 病例，累计 26267 切片
    ...140/700 病例，累计 30674 切片
    ...160/700 病例，累计 35142 切片
    ...180/700 病例，累计 39731 切片
    ...200/700 病例，累计 44034 切片
    ...220/700 病例，累计 48358 切片
    ...240/700 病例，累计 52554 切片
    ...260/700 病例，累计 56937 切片
    ...280/700 病例，累计 61407 切片
    ...300/700 病例，累计 65869 切片
    ...320/700 病例，累计 70311 切片
    ...340/700 病例，累计 74699 切片
    ...360/700 病例，累计 79085 切片
    ...380/700 病例，累计 83315 切片
    ...400/700 病例，累计 87539 切片
    ...420/700 病例，累计 92016 切片
    ...440/700 病例，累计 96431 切片
    ...460/700 病例，累计 100976 切片
    ...480/700 病例，累计 105337 切片
    ...500/700 病例，累计 109553 切片
    ...520/700 病例，累计 113997 切片
    ...540/700 病例，累计 118262 切片
    ...560/700 病例，累计 122495 切片
    ...580/700 病例，累计 126829 切片
    ...600/700 病例，累计 131179 切片
    ...620/700 病例，累计 135307 切片
    ...640/700 病例，累计 139791 切片
    ...660/700 病例，累计 144124 切片
    ...680/700 病例，累计 148470 切片
    ...700/700 病例，累计 152946 切片
  [完成] train: 152946 切片（正 123272 / 负 29674）
  [构建] val 切片索引（会遍历 100 个病例，首次较慢）...
    ...20/100 病例，累计 4506 切片
    ...40/100 病例，累计 8930 切片
    ...60/100 病例，累计 13359 切片
    ...80/100 病例，累计 17798 切片
    ...100/100 病例，累计 22171 切片
  [完成] val: 22171 切片（正 17864 / 负 4307）
train batches=18808  val batches=2808

--- Epoch 1/100 (lr=1.00e-03) ---
    [train] iter 20/18808  loss=1.1452
    [train] iter 40/18808  loss=1.0933
    [train] iter 60/18808  loss=1.0441
    [train] iter 80/18808  loss=0.9824
    [train] iter 100/18808  loss=0.9008
    [train] iter 120/18808  loss=0.8995
    [train] iter 140/18808  loss=0.8800
    [train] iter 160/18808  loss=0.8675
    [train] iter 180/18808  loss=0.7024
    [train] iter 200/18808  loss=0.6232
    [train] iter 220/18808  loss=0.6406
    [train] iter 240/18808  loss=0.5618
    [train] iter 260/18808  loss=0.6416
    [train] iter 280/18808  loss=0.3580
    [train] iter 300/18808  loss=0.5331
    [train] iter 320/18808  loss=0.6903
    [train] iter 340/18808  loss=0.7550
    [train] iter 360/18808  loss=0.4455
    [train] iter 380/18808  loss=0.8349
    [train] iter 400/18808  loss=0.3498
    [train] iter 420/18808  loss=0.3462
    [train] iter 440/18808  loss=0.5920
    [train] iter 460/18808  loss=0.4795
    [train] iter 480/18808  loss=0.7760
    [train] iter 500/18808  loss=0.6861
    [train] iter 520/18808  loss=0.5186
    [train] iter 540/18808  loss=0.5946
    [train] iter 560/18808  loss=0.7249
    [train] iter 580/18808  loss=0.6813
    [train] iter 600/18808  loss=0.5082
    [train] iter 620/18808  loss=0.6775
    [train] iter 640/18808  loss=0.3964
    [train] iter 660/18808  loss=0.4905
    [train] iter 680/18808  loss=0.4309
    [train] iter 700/18808  loss=0.7563
    [train] iter 720/18808  loss=0.4458
    [train] iter 740/18808  loss=0.4615
    [train] iter 760/18808  loss=0.4378
    [train] iter 780/18808  loss=0.6508
    [train] iter 800/18808  loss=0.5174
    [train] iter 820/18808  loss=0.3302
    [train] iter 840/18808  loss=0.3211
    [train] iter 860/18808  loss=0.4847
    [train] iter 880/18808  loss=0.4983
    [train] iter 900/18808  loss=0.3285
    [train] iter 920/18808  loss=0.2857
    [train] iter 940/18808  loss=0.4541
    [train] iter 960/18808  loss=0.5021
    [train] iter 980/18808  loss=0.4671
    [train] iter 1000/18808  loss=0.5875
    [train] iter 1020/18808  loss=0.3524
    [train] iter 1040/18808  loss=0.4331
    [train] iter 1060/18808  loss=0.3270
    [train] iter 1080/18808  loss=0.4501
    [train] iter 1100/18808  loss=0.5145
    [train] iter 1120/18808  loss=0.4412
    [train] iter 1140/18808  loss=0.4948
    [train] iter 1160/18808  loss=0.4431
    [train] iter 1180/18808  loss=0.4983
    [train] iter 1200/18808  loss=0.3771
    [train] iter 1220/18808  loss=0.4825
    [train] iter 1240/18808  loss=0.5314
    [train] iter 1260/18808  loss=0.4188
    [train] iter 1280/18808  loss=0.5003
    [train] iter 1300/18808  loss=0.4809
    [train] iter 1320/18808  loss=0.3840
    [train] iter 1340/18808  loss=0.4691
    [train] iter 1360/18808  loss=0.3458
    [train] iter 1380/18808  loss=0.3973
    [train] iter 1400/18808  loss=0.3863
    [train] iter 1420/18808  loss=0.4451
    [train] iter 1440/18808  loss=0.5233
    [train] iter 1460/18808  loss=0.4441
    [train] iter 1480/18808  loss=0.3228
    [train] iter 1500/18808  loss=0.3695
    [train] iter 1520/18808  loss=0.4203
    [train] iter 1540/18808  loss=0.3981
    [train] iter 1560/18808  loss=0.5405
    [train] iter 1580/18808  loss=0.2643
    [train] iter 1600/18808  loss=0.4338
    [train] iter 1620/18808  loss=0.5280
    [train] iter 1640/18808  loss=0.6808
    [train] iter 1660/18808  loss=0.5827
    [train] iter 1680/18808  loss=0.2997
    [train] iter 1700/18808  loss=0.2960
    [train] iter 1720/18808  loss=0.3778
    [train] iter 1740/18808  loss=0.4535
    [train] iter 1760/18808  loss=0.3016
    [train] iter 1780/18808  loss=0.7954
    [train] iter 1800/18808  loss=0.3045
    [train] iter 1820/18808  loss=0.4789
    [train] iter 1840/18808  loss=0.3634
    [train] iter 1860/18808  loss=0.6049
    [train] iter 1880/18808  loss=0.6650
    [train] iter 1900/18808  loss=0.6851
    [train] iter 1920/18808  loss=0.5334
    [train] iter 1940/18808  loss=0.2840
    [train] iter 1960/18808  loss=0.4589
    [train] iter 1980/18808  loss=0.6160
    [train] iter 2000/18808  loss=0.4999
    [train] iter 2020/18808  loss=0.3231
    [train] iter 2040/18808  loss=0.5619
    [train] iter 2060/18808  loss=0.5126
    [train] iter 2080/18808  loss=0.4587
    [train] iter 2100/18808  loss=0.2908
    [train] iter 2120/18808  loss=0.4089
    [train] iter 2140/18808  loss=0.6918
    [train] iter 2160/18808  loss=0.3066
    [train] iter 2180/18808  loss=0.5540
    [train] iter 2200/18808  loss=0.6757
    [train] iter 2220/18808  loss=0.3918
    [train] iter 2240/18808  loss=0.5962
    [train] iter 2260/18808  loss=0.3827
    [train] iter 2280/18808  loss=0.4459
    [train] iter 2300/18808  loss=0.3837
    [train] iter 2320/18808  loss=0.4072
    [train] iter 2340/18808  loss=0.4492
    [train] iter 2360/18808  loss=0.3981
    [train] iter 2380/18808  loss=0.6746
    [train] iter 2400/18808  loss=0.3679
    [train] iter 2420/18808  loss=0.5745
    [train] iter 2440/18808  loss=0.3421
    [train] iter 2460/18808  loss=0.4637
    [train] iter 2480/18808  loss=0.4692
    [train] iter 2500/18808  loss=0.3218
    [train] iter 2520/18808  loss=0.6212
