作业 16861115 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=4443  val batches=743

--- Epoch 1/100 (lr=3.00e-04) ---
    [train] iter 20/4443  loss=1.1483
    [train] iter 40/4443  loss=1.1281
    [train] iter 60/4443  loss=1.1136
    [train] iter 80/4443  loss=1.0306
    [train] iter 100/4443  loss=1.0233
    [train] iter 120/4443  loss=1.0269
    [train] iter 140/4443  loss=0.9620
    [train] iter 160/4443  loss=0.9730
    [train] iter 180/4443  loss=0.9667
    [train] iter 200/4443  loss=0.8548
    [train] iter 220/4443  loss=0.7689
    [train] iter 240/4443  loss=0.7424
    [train] iter 260/4443  loss=0.8631
    [train] iter 280/4443  loss=0.7757
    [train] iter 300/4443  loss=0.7367
    [train] iter 320/4443  loss=0.5593
    [train] iter 340/4443  loss=0.6577
    [train] iter 360/4443  loss=0.5991
    [train] iter 380/4443  loss=0.5421
    [train] iter 400/4443  loss=0.5429
    [train] iter 420/4443  loss=0.5305
    [train] iter 440/4443  loss=0.5903
    [train] iter 460/4443  loss=0.5782
    [train] iter 480/4443  loss=0.7456
    [train] iter 500/4443  loss=0.5773
    [train] iter 520/4443  loss=0.6127
    [train] iter 540/4443  loss=0.5730
    [train] iter 560/4443  loss=0.6409
    [train] iter 580/4443  loss=0.5580
    [train] iter 600/4443  loss=0.4257
    [train] iter 620/4443  loss=0.4617
    [train] iter 640/4443  loss=0.4839
    [train] iter 660/4443  loss=0.4714
    [train] iter 680/4443  loss=0.5211
    [train] iter 700/4443  loss=0.5383
    [train] iter 720/4443  loss=0.4716
    [train] iter 740/4443  loss=0.5111
    [train] iter 760/4443  loss=0.4186
    [train] iter 780/4443  loss=0.6226
    [train] iter 800/4443  loss=0.6388
    [train] iter 820/4443  loss=0.4909
    [train] iter 840/4443  loss=0.5071
    [train] iter 860/4443  loss=0.5143
    [train] iter 880/4443  loss=0.4516
    [train] iter 900/4443  loss=0.4656
    [train] iter 920/4443  loss=0.4437
    [train] iter 940/4443  loss=0.4834
    [train] iter 960/4443  loss=0.4129
    [train] iter 980/4443  loss=0.3149
    [train] iter 1000/4443  loss=0.5644
    [train] iter 1020/4443  loss=0.4589
    [train] iter 1040/4443  loss=0.3767
    [train] iter 1060/4443  loss=0.5524
    [train] iter 1080/4443  loss=0.4004
    [train] iter 1100/4443  loss=0.4873
    [train] iter 1120/4443  loss=0.4824
    [train] iter 1140/4443  loss=0.4568
    [train] iter 1160/4443  loss=0.3034
    [train] iter 1180/4443  loss=0.4354
    [train] iter 1200/4443  loss=0.3877
    [train] iter 1220/4443  loss=0.6023
    [train] iter 1240/4443  loss=0.6383
    [train] iter 1260/4443  loss=0.4167
    [train] iter 1280/4443  loss=0.3186
    [train] iter 1300/4443  loss=0.6173
    [train] iter 1320/4443  loss=0.2999
    [train] iter 1340/4443  loss=0.3511
    [train] iter 1360/4443  loss=0.3676
    [train] iter 1380/4443  loss=0.4966
    [train] iter 1400/4443  loss=0.6702
    [train] iter 1420/4443  loss=0.4771
    [train] iter 1440/4443  loss=0.3665
    [train] iter 1460/4443  loss=0.5996
    [train] iter 1480/4443  loss=0.5023
    [train] iter 1500/4443  loss=0.5173
    [train] iter 1520/4443  loss=0.4441
    [train] iter 1540/4443  loss=0.4872
    [train] iter 1560/4443  loss=0.3512
    [train] iter 1580/4443  loss=0.4419
    [train] iter 1600/4443  loss=0.4797
    [train] iter 1620/4443  loss=0.4919
    [train] iter 1640/4443  loss=0.3897
    [train] iter 1660/4443  loss=0.5229
    [train] iter 1680/4443  loss=0.4052
    [train] iter 1700/4443  loss=0.5234
    [train] iter 1720/4443  loss=0.4041
    [train] iter 1740/4443  loss=0.5478
    [train] iter 1760/4443  loss=0.4938
    [train] iter 1780/4443  loss=0.4314
    [train] iter 1800/4443  loss=0.4854
    [train] iter 1820/4443  loss=0.4389
    [train] iter 1840/4443  loss=0.4307
    [train] iter 1860/4443  loss=0.3256
    [train] iter 1880/4443  loss=0.6498
    [train] iter 1900/4443  loss=0.6067
    [train] iter 1920/4443  loss=0.6309
    [train] iter 1940/4443  loss=0.4090
    [train] iter 1960/4443  loss=0.4594
    [train] iter 1980/4443  loss=0.4680
    [train] iter 2000/4443  loss=0.4938
    [train] iter 2020/4443  loss=0.4293
    [train] iter 2040/4443  loss=0.3894
    [train] iter 2060/4443  loss=0.5162
    [train] iter 2080/4443  loss=0.4170
    [train] iter 2100/4443  loss=0.5364
    [train] iter 2120/4443  loss=0.3597
    [train] iter 2140/4443  loss=0.4311
    [train] iter 2160/4443  loss=0.3800
    [train] iter 2180/4443  loss=0.3592
    [train] iter 2200/4443  loss=0.4284
    [train] iter 2220/4443  loss=0.4726
    [train] iter 2240/4443  loss=0.6520
    [train] iter 2260/4443  loss=0.4441
    [train] iter 2280/4443  loss=0.3793
    [train] iter 2300/4443  loss=0.3805
    [train] iter 2320/4443  loss=0.3995
    [train] iter 2340/4443  loss=0.4019
    [train] iter 2360/4443  loss=0.3994
    [train] iter 2380/4443  loss=0.3190
    [train] iter 2400/4443  loss=0.4123
    [train] iter 2420/4443  loss=0.3302
    [train] iter 2440/4443  loss=0.3150
    [train] iter 2460/4443  loss=0.4091
    [train] iter 2480/4443  loss=0.5403
    [train] iter 2500/4443  loss=0.5302
    [train] iter 2520/4443  loss=0.3600
    [train] iter 2540/4443  loss=0.3721
    [train] iter 2560/4443  loss=0.4759
    [train] iter 2580/4443  loss=0.5102
    [train] iter 2600/4443  loss=0.6211
    [train] iter 2620/4443  loss=0.4310
    [train] iter 2640/4443  loss=0.4248
    [train] iter 2660/4443  loss=0.3773
    [train] iter 2680/4443  loss=0.4004
    [train] iter 2700/4443  loss=0.5190
    [train] iter 2720/4443  loss=0.3622
    [train] iter 2740/4443  loss=0.4246
    [train] iter 2760/4443  loss=0.3588
    [train] iter 2780/4443  loss=0.4941
    [train] iter 2800/4443  loss=0.3796
